Thu Feb  8 10:24:30 2024    my_apt_imp.pyprofile

         352755 function calls (352749 primitive calls) in 0.224 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:588(transpose)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3823(_product_dispatcher)
        3    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:140(basename)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:390(set_celldisp)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/copyreg.py:104(__newobj__)
        9    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1926(_get_positions)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:442(set_pbc)
       12    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:345(<genexpr>)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:259(spins)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:758(get_chemical_indices)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/cell.py:52(ascell)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:600(set_masses)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/generic.py:339(_from_mgr)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/internals/managers.py:985(<listcomp>)
        6    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/shape_base.py:1257(<genexpr>)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexers/utils.py:62(is_list_like_indexer)
        3    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:292(calc)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:228(_acquireLock)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:5369(__getitem__)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/numpy/lib/function_base.py:5163(<listcomp>)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/logging/__init__.py:123(getLevelName)
       15    0.000    0.000    0.000    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1996(default)
        6    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/shyamkatnagallu/Projects/APTrajectories/RobinRollandModel/datautils.py:7(__init__)
